ambil air,ma ar
makan kedondong,ka kadondong
makan kelapa,ka niu
makan kue,ka kukis
makan mangga,ka ayai
makan manggis,ka manggustan
makan nanas,ka kainasi
makan nasi ,ka fasa
makan papeda,ka baititik 
makan pisang,ka fudi
makan roti,ka barot
makan sagu,ka suat
makan sapi,ka sapi
makan sayur,ka utan
makan semangka,ka tumin
makan singkong,ka bangala
makan sinole,ka sinole
makan ubi,ka ui
makan ular,ka tekis
membeli anggur ,fas anggur a
membeli apel,fas apel a
membeli ayam,fas manuk a
membeli baju,fas ladan a
membeli bawang,fas bawang
membeli buah,fas woi ra
membeli buku,fas buk a
membeli celana,fas kada ra
membeli daging,fas sisi ra
membeli duku,fas duku
membeli durian,fas duran a
membeli durian ,fas duran
membeli garpu,fas forok a
membeli gelas ,fas galas a
membeli gurita,fas kurit
membeli ikan ,fas ikan
membeli jambu,fas mutur
membeli kambing,fas bibi ra
membeli kamera,fas foto ra
membeli kedondong ,fas kadondong
membeli kelapa,fas niu ra
membeli kue,fas kui ra
membeli langsat,fas latas
membeli mangga,fas ayai
membeli mobil,fas oto ra
membeli motor,fas motor a
membeli nanas,fas kainasi
membeli nasi,fas fasa ra
membeli pena,fas kalam a
membeli pepaya,fas udicastela ra
membeli piring,fas bingan a
membeli pisang,fas fudi ra
membeli rambutan,fas rambutan
membeli rok,fas roak a
membeli roti,fas barot a
membeli rumah,fas rumah ra
membeli sapi,fas sapi ra
membeli sayur,fas utan
membeli semangka,fas tumin a
membeli sendok,fas sisiru ra
membeli sepatu,fas sapatu
membeli sirsak,fas ulan walanda
memberi hadiah,guan hadia ra
memberi hadiah ,guan hadia 
memberi kue,guan kukis a
memberi makanan,guan fanga 
memberi uang ,guan pis a
membuat papeda,wei baititik
membuat sagu,wei suat 
mencuci baju,fitofik ladan
mencuci celana ,fitofik kada
mencuci garpu,fusak forok
mencuci gelas,fusak galas a
mencuci kaki,fusak ikea 
mencuci motor,fusak motur a
mencuci muka,fusak fanoa ra
mencuci pakaian,fitofik ladan
mencuci piring,fusak bingan a
mencuci rambut,fusak uk
mencuci sendok,fusak sisiru
mencuci sepatu,fusak sapatu ra
mencuci tangan,fusak imaa
menemani teman,batamang
mengambil air ,na ar
mengambil baju,na ladan
mengambil barang,na mana sa
mengambil batu,na watu
mengambil buah,na woi
mengambil buku,na buk
mengambil cangkir,na moak 
mengambil celana,na kada 
mengambil daun,na kairu
mengambil garam,na sira 
mengambil garpu,na forok
mengambil gelas,na galas
mengambil gitar,na juk
mengambil hadiah,na manaa maguan
mengambil handuk,na handuk
mengambil helm,na helem
mengambil kayu,na kai
mengambil kertas,na kartas
mengambil kiriman ,na fingkatu
mengambil kue,na kukis
mengambil linggis,na suan 
mengambil mangkuk,na basi kua
mengambil obat ,na mofun
mengambil pakaian ,na ladan
mengambil paku,na paku
mengambil palu,na resan
mengambil panci,na panci
mengambil parang,na peda
mengambil pena,na kalam
mengambil piring ,na bingan
mengambil pisau,na turit
mengambil sekop,na skop
mengambil sendal,na sandal
mengambil sendok,na sisiru
mengambil sepatu ,na sapatu
mengambil sisir,na sisir
mengambil surat,na surat
mengambil tas,na tas
mengambil tisu,na tisu
mengambil wajan,na kalin
mengangkat besi,walan mumumu
mengendarai mobil,saka oto
mengendarai motor,saka motor
mengendarai sepeda,saka kereta
menghisap rokok,bus tabaku
menjual anggur ,fitanak anggur a
menjual apel,fitanak apel a
menjual ayam,fitanak manuk a
menjual baju,fitanak ladan a
menjual buah,fitanak woi ra
menjual buku,fitanak buk a
menjual celana,fitanak kada ra
menjual daging,fitanak sisi ra
menjual durian,fitanak duran a
menjual garpu,fitanak forok a
menjual gelas ,fitanak galas a
menjual ikan,fitanak ikan a
menjual kambing,fitanak bibi ra
menjual kamera,fitanak tustel
menjual kelapa,fitanak niu kira
menjual kue,fitanak kukis ra
menjual mangga,fitanak ayai ra
menjual mobil,fitanak oto ra
menjual motor,fitanak motor a
menjual pena,fitanak kalam a
menjual pepaya,fitanak udicastela ra
menjual piring,fitanak bingan a
menjual pisang,fitanak fudi ra
menjual rok,fitanak roak a
menjual roti,fitanak barot a
menjual rumah,fitanak rumah ra
menjual sapi,fitanak sapi ra
menjual semangka,fitanak tumin a
menjual sendok,fitanak sisiru ra
menuruni tangga ,dudu atamari roran
abang belum bangun,kaka bot na wotu tei
abang belum belajar,kaka bot na balajar tei
abang belum berhasil,kaka bot na na roka mana gafin tei
abang belum makan,kaka bot na ka tei
abang belum mandi,kaka bot na sou tei
abang belum melihatmu,kaka bot na kilangar kau tei
abang belum melihatnya,kaka bot na kilangar i tei
abang belum memulai,kaka bot na mulai tei
abang belum mencintaimu,kaka bot na fituin kau tei
abang belum mencintainya,kaka bot na fituin i tei
abang belum mendengarnya,kaka bot na rongar i tei
abang belum menemukanmu,kaka bot na roka kau tei
abang belum menemukannya,kaka bot na roka i tei
abang belum menerimamu,kaka bot na tarima kau tei
abang belum menerimanya,kaka bot na tarima i tei
abang belum mengajar,kaka bot na fakuturu tei
abang belum menikah,kaka bot na fisa tei
abang belum menyerah,kaka bot na na suka tei
abang belum menyesal,kaka bot na laminora masingat tei
abang belum merindukanmu,kaka bot na marasai kau tei
abang belum merindukannya,kaka bot na marasai i tei
abang belum minum,kaka bot na kinu tei
abang belum rela,kaka bot na iklas tei
abang belum tahu,kaka bot na ruk tei
abang belum terima,kaka bot na tarima tei
abang belum tidur,kaka bot na kifit tei
abang gemar belajar,kaka na suka balajar
abang gemar berenang,kaka na suka ngangu
abang gemar bermain,kaka na suka lenga
abang gemar makan,kaka na suka fanga
abang gemar mandi,kaka na suka sou
abang gemar menyanyi,kaka na suka manyanyi
abang gemar minum,kaka na suka minu
abang gemar pergi,kaka na suka tagi
abang makan anggur,abang na ka fanga anggur
abang makan apel,abang na ka fanga apel
abang makan ayam,abang na ka fanga manuk
abang makan babi,abang na ka fanga boi
abang makan buah,abang na ka fanga woi
abang makan buaya,abang na ka fanga wai
abang makan daging,abang na ka fanga daging
abang makan dodol,abang na ka fanga dodol
abang makan domba,abang na ka fanga domba 
abang makan gurita,abang na ka fanga kurit
abang makan ikan,abang na ka fanga ikan
abang makan kacang,abang na ka fanga kacang
abang makan kambing,abang na ka fanga bibi
abang makan kedondong,abang na ka fanga kadondong
abang makan kelapa,abang na ka fanga niu
abang makan kue,abang na ka fanga kukis
abang makan mangga,abang na ka fanga ayai
abang makan manggis,abang na ka fanga manggustan
abang makan nanas,abang na ka fanga kainasi
abang makan nasi ,abang na ka fanga fasa
abang makan papeda,abang na ka fanga baititik 
abang makan pisang,abang na ka fanga fudi
abang makan roti,abang na ka fanga barot
abang makan sagu,abang na ka fanga suat
abang makan sapi,abang na ka fanga sapi
abang makan sayur,abang na ka fanga utan
abang makan semangka,abang na ka fanga tumin
abang makan singkong,abang na ka fanga bangala
abang makan sinole,abang na ka fanga sinole
abang makan ubi,abang na ka fanga ui
abang makan ular,abang na ka fanga tekis
abang mengambil air ,kaka na ar
abang mengambil baju,kaka na ladan
abang mengambil barang,kaka na mana sa
abang mengambil batu,kaka na watu
abang mengambil buah,kaka na woi
abang mengambil buku,kaka na buk
abang mengambil cangkir,kaka na moak 
abang mengambil celana,kaka na kada 
abang mengambil daun,kaka na kairu
abang mengambil garam,kaka na sira 
abang mengambil garpu,kaka na forok
abang mengambil gelas,kaka na galas
abang mengambil gitar,kaka na juk
abang mengambil handuk,kaka na handuk
abang mengambil helm,kaka na helem
abang mengambil kayu,kaka na kai
abang mengambil kertas,kaka na kartas
abang mengambil kiriman ,kaka na fingkatu
abang mengambil kue,kaka na kukis
abang mengambil linggis,kaka na suan 
abang mengambil mangkuk,kaka na basi kua
abang mengambil obat ,kaka na mofun
abang mengambil pakaian ,kaka na ladan
abang mengambil paku,kaka na paku
abang mengambil palu,kaka na resan
abang mengambil panci,kaka na panci
abang mengambil parang,kaka na peda
abang mengambil pena,kaka na kalam
abang mengambil piring ,kaka na bingan
abang mengambil pisau,kaka na turit
abang mengambil sekop,kaka na skop
abang mengambil sendal,kaka na sandal
abang mengambil sendok,kaka na sisiru
abang mengambil sepatu ,kaka na sapatu
abang mengambil sisir,kaka na sisir
abang mengambil surat,kaka na surat
abang mengambil tas,kaka na tas
abang mengambil tisu,kaka na tisu
abang mengambil wajan,kaka na kalin
adik belum bangun,toi bot na wotu tei
adik belum belajar,toi bot na balajar tei
adik belum berhasil,toi bot na na roka mana gafin tei
adik belum makan,toi bot na ka tei
adik belum mandi,toi bot na sou tei
adik belum melihatmu,toi bot na kilangar kau tei
adik belum melihatnya,toi bot na kilangar i tei
adik belum memulai,toi bot na mulai tei
adik belum mencintaimu,toi bot na fituin kau tei
adik belum mencintainya,toi bot na fituin i tei
adik belum mendengarnya,toi bot na rongar i tei
adik belum menemukanmu,toi bot na roka kau tei
adik belum menemukannya,toi bot na roka i tei
adik belum menerimamu,toi bot na tarima kau tei
adik belum menerimanya,toi bot na tarima i tei
adik belum mengajar,toi bot na fakuturu tei
adik belum menikah,toi bot na fisa tei
adik belum menyerah,toi bot na na suka tei
adik belum menyesal,toi bot na laminora masingat tei
adik belum merindukanmu,toi bot na marasai kau tei
adik belum merindukannya,toi bot na marasai i tei
adik belum minum,toi bot na kinu tei
adik belum rela,toi bot na iklas tei
adik belum tahu,toi bot na ruk tei
adik belum terima,toi bot na tarima tei
adik belum tidur,toi bot na kifit tei
adik gemar belajar,toi na suka balajar
adik gemar berenang,toi na suka ngangu
adik gemar bermain,toi na suka lenga
adik gemar makan,toi na suka fanga
adik gemar mandi,toi na suka sou
adik gemar menyanyi,toi na suka manyanyi
adik gemar minum,toi na suka minu
adik gemar pergi,toi na suka tagi
adik makan anggur,toi na ka fanga anggur
adik makan apel,toi na ka fanga apel
adik makan ayam,toi na ka fanga manuk
adik makan babi,toi na ka fanga boi
adik makan buah,toi na ka fanga woi
adik makan buaya,toi na ka fanga wai
adik makan daging,toi na ka fanga daging
adik makan dodol,toi na ka fanga dodol
adik makan domba,toi na ka fanga domba 
adik makan gurita,toi na ka fanga kurit
adik makan ikan,toi na ka fanga ikan
adik makan kacang,toi na ka fanga kacang
adik makan kambing,toi na ka fanga bibi
adik makan kedondong,toi na ka fanga kadondong
adik makan kelapa,toi na ka fanga niu
adik makan kue,toi na ka fanga kukis
adik makan mangga,toi na ka fanga ayai
adik makan manggis,toi na ka fanga manggustan
adik makan nanas,toi na ka fanga kainasi
adik makan nasi ,toi na ka fanga fasa
adik makan papeda,toi na ka fanga baititik 
adik makan pisang,toi na ka fanga fudi
adik makan roti,toi na ka fanga barot
adik makan sagu,toi na ka fanga suat
adik makan sapi,toi na ka fanga sapi
adik makan sayur,toi na ka fanga utan
adik makan semangka,toi na ka fanga tumin
adik makan singkong,toi na ka fanga bangala
adik makan sinole,toi na ka fanga sinole
adik makan ubi,toi na ka fanga ui
adik makan ular,toi na ka fanga tekis
adik mengambil air ,toi na ar
adik mengambil baju,toi na ladan
adik mengambil barang,toi na mana sa
adik mengambil batu,toi na watu
adik mengambil buah,toi na woi
adik mengambil buku,toi na buk
adik mengambil cangkir,toi na moak 
adik mengambil celana,toi na kada 
adik mengambil daun,toi na kairu
adik mengambil garam,toi na sira 
adik mengambil garpu,toi na forok
adik mengambil gelas,toi na galas
adik mengambil gitar,toi na juk
adik mengambil handuk,toi na handuk
adik mengambil helm,toi na helem
adik mengambil kayu,toi na kai
adik mengambil kertas,toi na kartas
adik mengambil kiriman ,toi na fingkatu
adik mengambil kue,toi na kukis
adik mengambil linggis,toi na suan 
adik mengambil mangkuk,toi na basi kua
adik mengambil obat ,toi na mofun
adik mengambil pakaian ,toi na ladan
adik mengambil paku,toi na paku
adik mengambil palu,toi na resan
adik mengambil panci,toi na panci
adik mengambil parang,toi na peda
adik mengambil pena,toi na kalam
adik mengambil piring ,toi na bingan
adik mengambil pisau,toi na turit
adik mengambil sekop,toi na skop
adik mengambil sendal,toi na sandal
adik mengambil sendok,toi na sisiru
adik mengambil sepatu ,toi na sapatu
adik mengambil sisir,toi na sisir
adik mengambil surat,toi na surat
adik mengambil tas,toi na tas
adik mengambil tisu,toi na tisu
adik mengambil wajan,toi na kalin
aku belajar aljabar,aku balajar aljabar
aku belajar bahasa,aku balajar minak 
aku belajar beradaptasi,aku balajar nai bisa ku mian nai tompat woun
aku belajar berbagi,aku balajar ku figuan
aku belajar berempati,aku balajar nai ku fituin mancian woun
aku belajar berenang,aku balajar ngangu
aku belajar berjalan,aku balajar ku tagi
aku belajar berkerja,aku balajar karja
aku belajar berkomunikasi,aku balajar sinabi ra 
aku belajar berlari,aku balajar ku falaru
aku belajar bermain ,aku balajar lenga
aku belajar berpikir,aku balajar ku fikir
aku belajar bersabar,aku balajar sabar a
aku belajar bersyukur,aku balajar syukur 
aku belajar biologi,aku balajar ilmu alam
aku belajar catur ,aku balajar catur
aku belajar displin,aku balajar ku lenga tu waktu ra tei
aku belajar fisika,aku balajar fisika
aku belajar komputer,aku balajar komputer 
aku belajar mancing,aku belajar subelat
aku belajar matematika ,aku balajar berhitung 
aku belajar memaafkan,aku balajar ta gafin
aku belajar memanah,aku balajar fana-fanak a
aku belajar memasak,aku balajar firakan
aku belajar membaca,aku balajar baca
aku belajar menari,aku balajar sula
aku belajar mengaji,aku balajar sibur
aku belajar menggambar,aku balajar garis-garis 
aku belajar menghitung,aku balajar firekin
aku belajar menjahit,aku balajar firait
aku belajar menulis,aku balajar tulis
aku belajar menyanyi,aku balajar manyanyi
aku belajar olahraga ,aku balajar olahraga 
aku belajar shalat,aku balajar sumbiyang
aku belum bangun,aku bot ku wotu tei
aku belum belajar,aku bot ku balajar tei
aku belum berhasil,aku bot ku na roka mana gafin tei
aku belum makan,aku bot ku ka tei
aku belum mandi,aku bot ku sou tei
aku belum melihatmu,aku bot ku kilangar kau tei
aku belum melihatnya,aku bot ku kilangar i tei
aku belum memulai,aku bot ku mulai tei
aku belum mencintaimu,aku bot ku fituin kau tei
aku belum mencintainya,aku bot ku fituin i tei
aku belum mendengarnya,aku bot ku rongar i tei
aku belum menemukanmu,aku bot ku roka kau tei
aku belum menemukannya,aku bot ku roka i tei
aku belum menerimamu,aku bot ku tarima kau tei
aku belum menerimanya,aku bot ku tarima i tei
aku belum mengajar,aku bot ku fakuturu tei
aku belum menikah,aku bot ku fisa tei
aku belum menyerah,aku bot ku na suka tei
aku belum menyesal,aku bot ku laminora masingat tei
aku belum merindukanmu,aku bot ku marasai kau tei
aku belum merindukannya,aku bot ku marasai i tei
aku belum minum,aku bot ku kinu tei
aku belum rela,aku bot ku iklas tei
aku belum tahu,aku bot ku ruk tei
aku belum terima,aku bot ku tarima tei
aku belum tidur,aku bot ku kifit tei
aku gemar belajar,aku suka ku balajar
aku gemar berenang,aku suka ku ngangu
aku gemar bermain,aku suka ku lenga
aku gemar makan,aku suka ku ka
aku gemar mandi,aku suka ku sou
aku gemar menyanyi,aku suka ku manyanyi
aku gemar minum,aku suka ku minu
aku gemar pergi,aku suka ku tagi
aku ingin belajar,aku mau ku balajar
aku ingin berlari,aku mau ku falaru
aku ingin berteriak,aku mau ku gurait
aku ingin cinta,aku mau ku fituin
aku ingin hidup,aku mau ku na liu
aku ingin kecewa,aku mau ku laminoa na geit
aku ingin lari,aku mau ku falaru
aku ingin makan,aku mau ku fanga
aku ingin mandi,aku mau ku sou
aku ingin marah,aku mau ku sia
aku ingin mati,aku mau ku mata
aku ingin melihat,aku mau ku kilangar
aku ingin membaca,aku mau ku baca
aku ingin menangis,aku mau ku tangis
aku ingin mendengar,aku mau ku rongar
aku ingin mengajar,aku mau ku fakturu
aku ingin menulis,aku mau ku tulis
aku ingin minum,aku mau ku minu
aku ingin muntah,aku mau ku luak
aku ingin rindu,aku mau ku marasai
aku ingin sakit,aku mau ku masingat
aku ingin sedih,aku mau ku masgul
aku ingin tidur,aku mau ku kifit
aku makan anggur,aku ka anggur
aku makan apel,aku ka apel
aku makan ayam,aku ka manuk
aku makan babi,aku ka boi
aku makan buah,aku ka woi
aku makan buaya,aku ka wai
aku makan daging,aku ka daging
aku makan dodol,aku ka dodol
aku makan domba,aku ka domba 
aku makan gurita,aku ka kurit
aku makan ikan,aku ka ikan
aku makan kacang,aku ka kacang
aku makan kambing,aku ka bibi
aku makan kedondong,aku ka kadondong
aku makan kelapa,aku ka niu
aku makan kue,aku ka kukis
aku makan mangga,aku ka ayai
aku makan manggis,aku ka manggustan
aku makan nanas,aku ka kainasi
aku makan nasi ,aku ka fasa
aku makan papeda,aku ka baititik 
aku makan pisang,aku ka fudi
aku makan roti,aku ka barot
aku makan sagu,aku ka suat
aku makan sapi,aku ka sapi
aku makan sayur,aku ka utan
aku makan semangka,aku ka tumin
aku makan singkong,aku ka bangala
aku makan sinole,aku ka sinole
aku makan ubi,aku ka ui
aku makan ular,aku ka tekis
aku membeli anggur ,aku fas anggur a
aku membeli apel,aku fas apel a
aku membeli ayam,aku fas manuk a
aku membeli baju,aku fas ladan a
aku membeli bawang,aku fas bawang
aku membeli buah,aku fas woi ra
aku membeli buku,aku fas buk a
aku membeli buku,aku fas buk
aku membeli celana,aku fas kada ra
aku membeli daging,aku fas sisi ra
aku membeli duku,aku fas duku
aku membeli durian,aku fas duran a
aku membeli durian ,aku fas duran
aku membeli garpu,aku fas forok a
aku membeli gelas ,aku fas galas a
aku membeli gurita,aku fas kurit
aku membeli ikan,aku fas ikan
aku membeli ikan ,aku fas ikan
aku membeli jambu,aku fas mutur
aku membeli kambing,aku fas bibi ra
aku membeli kamera,aku fas foto ra
aku membeli kedondong ,aku fas kadondong
aku membeli kelapa,aku fas niu ra
aku membeli kue,aku fas kui ra
aku membeli langsat,aku fas latas
aku membeli mangga,aku fas ayai
aku membeli mobil,aku fas oto ra
aku membeli motor,aku fas motor a
aku membeli nanas,aku fas kainasi
aku membeli nasi,aku fas fasa ra
aku membeli pena,aku fas kalam a
aku membeli pepaya,aku fas udicastela ra
aku membeli piring,aku fas bingan a
aku membeli pisang,aku fas fudi ra
aku membeli rambutan,aku fas rambutan
aku membeli rok,aku fas roak a
aku membeli roti,aku fas barot a
aku membeli rumah,aku fas rumah ra
aku membeli sapi,aku fas sapi ra
aku membeli sayur,aku fas utan
aku membeli semangka,aku fas tumin a
aku membeli sendok,aku fas sisiru ra
aku membeli sepatu,aku fas sapatu
aku membeli sirsak,aku fas ulan walanda
aku mencuci baju,aku fitofik ladan
aku mencuci celana ,aku fitofik kada
aku mencuci garpu,aku fusak forok
aku mencuci gelas,aku fusak galas a
aku mencuci kaki,aku fusak ikea 
aku mencuci motor,aku fusak motur a
aku mencuci muka,aku fusak fanoa ra
aku mencuci pakaian,aku fitofik ladan
aku mencuci piring,aku fusak bingan a
aku mencuci rambut,aku fusak uk
aku mencuci sendok,aku fusak sisiru
aku mencuci sepatu,aku fusak sapatu ra
aku mencuci tangan,aku fusak imaa
aku menemani teman,aku batamang
aku menemani teman,aku batamang i
aku mengambil air ,aku na ar
aku mengambil baju,aku na ladan
aku mengambil barang,aku na mana sa
aku mengambil batu,aku na watu
aku mengambil buah,aku na woi
aku mengambil buku,aku na buk
aku mengambil buku,aku ka buk
aku mengambil cangkir,aku na moak 
aku mengambil celana,aku na kada 
aku mengambil daun,aku na kairu
aku mengambil garam,aku na sira 
aku mengambil garpu,aku na forok
aku mengambil gelas,aku na galas
aku mengambil gitar,aku na juk
aku mengambil hadiah,aku na manaa maguan
aku mengambil hadiah,aku guan hadia
aku mengambil handuk,aku na handuk
aku mengambil helm,aku na helem
aku mengambil kayu,aku na kai
aku mengambil kertas,aku na kartas
aku mengambil kiriman ,aku na fingkatu
aku mengambil kue,aku na kukis
aku mengambil linggis,aku na suan 
aku mengambil mangkuk,aku na basi kua
aku mengambil obat ,aku na mofun
aku mengambil pakaian ,aku na ladan
aku mengambil paku,aku na paku
aku mengambil palu,aku na resan
aku mengambil panci,aku na panci
aku mengambil parang,aku na peda
aku mengambil pena,aku na kalam
aku mengambil piring ,aku na bingan
aku mengambil pisau,aku na turit
aku mengambil sekop,aku na skop
aku mengambil sendal,aku na sandal
aku mengambil sendok,aku na sisiru
aku mengambil sepatu ,aku na sapatu
aku mengambil sisir,aku na sisir
aku mengambil surat,aku na surat
aku mengambil tas,aku na tas
aku mengambil tisu,aku na tisu
aku mengambil wajan,aku na kalin
aku mengangkat besi,aku walan mumumu
aku mengangkat besi,aku walan mumumu ra
aku mengendarai mobil,aku saka oto
aku mengendarai mobil,aku kodi oto ra
aku mengendarai motor,aku saka motor
aku mengendarai motor,aku kodi motor a
aku mengendarai sepeda,aku saka kereta
aku mengendarai sepeda,aku saka kareta ra
aku menghisap rokok,aku bus tabaku
aku menjual anggur ,aku fitanak anggur a
aku menjual apel,aku fitanak apel a
aku menjual ayam,aku fitanak manuk a
aku menjual baju,aku fitanak ladan a
aku menjual buah,aku fitanak woi ra
aku menjual buku,aku fitanak buk a
aku menjual celana,aku fitanak kada ra
aku menjual daging,aku fitanak sisi ra
aku menjual durian,aku fitanak duran a
aku menjual garpu,aku fitanak forok a
aku menjual gelas ,aku fitanak galas a
aku menjual ikan,aku fitanak ikan a
aku menjual kambing,aku fitanak bibi ra
aku menjual kamera,aku fitanak tustel
aku menjual kelapa,aku fitanak niu kira
aku menjual kue,aku fitanak kukis ra
aku menjual mangga,aku fitanak ayai ra
aku menjual mobil,aku fitanak oto ra
aku menjual motor,aku fitanak motor a
aku menjual pena,aku fitanak kalam a
aku menjual pepaya,aku fitanak udicastela ra
aku menjual piring,aku fitanak bingan a
aku menjual pisang,aku fitanak fudi ra
aku menjual rok,aku fitanak roak a
aku menjual roti,aku fitanak barot a
aku menjual rumah,aku fitanak rumah ra
aku menjual sapi,aku fitanak sapi ra
aku menjual semangka,aku fitanak tumin a
aku menjual sendok,aku fitanak sisiru ra
aku menulis buku,aku tulis buk
aku menulis surat,aku tulis surat
aku menuruni tangga,aku dudu atamari roran
aku menyapu halaman,aku sirai halaman
aku menyapu rumah,aku sirai rumah
aku menyapu rumah,aku sirai ruma ra
aku menyiapkan makanan,aku taru fanga
aku menyiapkan makanan,aku siap fanga ra
aku menyimpan uang,aku taru pis
aku menyimpan uang,aku taru fis
aku menyiram bunga,aku siram bunga
aku menyiram bunga,aku siram bunga ra
aku menyiram tanaman,aku siram barang fitauk
aku menyiram tanaman,aku siram nugu barang fitauk
aku merasa kehausan,aku rasa mangalan
aku merasa kelaparan,aku rasa matawitil
aku merasa sedih,aku masgul 
aku minum air,aku kinu ar
aku minum air kelapa,aku kinu niu kira
aku minum alkohol,aku kinu tuak a
aku minum kopi,aku kinu kofi ra
aku minum soda,aku kinu soda
aku minum teh,aku kinu te
aku pergi kemarin,aku tagi mingirari
aku sangat cinta,aku fituin paskali
aku sangat kehausan,aku mangalan paskali
aku sangat kelaparan,aku matawitil paskali
aku sangat lapar,aku matawitil paskali
aku sangat lelah,aku laimata paskali
aku sangat malas,aku jabul tuku loka
aku sangat marah,aku sial paskali
aku sangat mencintaimu,aku fituin kau paskali
aku sangat rindu,aku marasai paskali
aku sangat sedih,aku masgul paskali
ambil air ini,ma ar iwa
ambil air itu,ma ar ira
ambil baju ini,ma ladan iwa
ambil baju itu,ma ladan ira
ambil barang ini,ma mana sa iwa
ambil barang itu,ma mana sa ira
ambil batu ini,ma watu iwa
ambil batu itu,ma watu ira
ambil buah ini,ma woi iwa
ambil buah itu,ma woi ira
ambil buku ini,ma buk iwa
ambil buku itu,ma buk ira
ambil cangkir ini,ma moak  iwa
ambil cangkir itu,ma moak  ira
ambil celana ini,ma kada  iwa
ambil celana itu,ma kada  ira
ambil daun ini,ma kairu iwa
ambil daun itu,ma kairu ira
ambil garam ini,ma sira  iwa
ambil garam itu,ma sira  ira
ambil garpu ini,ma forok iwa
ambil garpu itu,ma forok ira
ambil gelas ini,ma galas iwa
ambil gelas itu,ma galas ira
ambil gitar ini,ma juk iwa
ambil gitar itu,ma juk ira
